formation_days,train_sharpe,test_sharpe
3,-0.35626899436112175,-0.5495930828251011
5,-0.21223076561820303,-0.3853490109497677
10,-0.7239820602979902,0.15145853612673726
15,-0.7695888690687721,-0.032892551213765046
20,-0.6046805779750867,-0.13372472737467794
